Label,Offensive/Violent words
1,arduously
0,are
0,area
1,areola
1,argie
1,argumentative
0,arji
0,arjun
0,arm
0,armi
1,aroused
0,arrange
0,arrive
1,arrogance
1,arrogant
1,arrogantly
1,arse
1,arsehole
0,art
0,arthavyavasthaa
0,articulate
0,arun
0,arunachal
0,as
0,asaam
0,asal
0,asar
1,ashamed
0,asharaph
0,ashok
0,asia
1,asian
0,asiayi
0,asii
1,asinine
1,asininely
1,asinininity
0,ask
1,askance
0,asli
1,asperse
1,aspersion
1,aspersions
0,aspiration
0,aspirations
0,aspire
0,asptaal
1,ass
1,ass licker
1,assail
1,assassin
1,assassinate
1,assassination
1,assault
1,assbagger
1,assblaster
1,assclown
1,asscowboy
1,asses
1,assfuck
1,assfucker
1,asshat
1,asshole
1,assholes
1,asshore
1,assjockey
1,asskiss
1,asskisser
1,assklown
1,asslick
1,asslover
1,assman
1,assmonkey
1,assmunch
1,assmuncher
0,assotiation
1,asspacker
1,asspirate
1,asspuppies
1,assranger
1,assult
0,assurance
0,assurances
0,assure
0,assuredly
0,assuring
1,asswhore
1,asswipe
0,astonish
0,astonished
0,astonishing
0,astonishingly
0,astonishment
0,astound
0,astounded
0,astounding
0,astoundingly
1,astray
0,astutely
1,asunder
0,at
0,ate
1,athletesfoot
0,atirikt
0,atm
0,atom
1,atrocious
1,atrocities
1,atrocity
1,atrophy
0,attack
1,attack
1,attacks
0,attentive
0,attit
0,attorney
0,attraction
0,attractive
0,attractively
0,attune
1,audacious
1,audaciously
1,audaciousness
1,audacity
0,audible
0,audibly
1,audiciously
0,august
1,auladi
0,auna
0,aupchaarik
0,aur
0,aur bhi
0,aurat
0,aurtan
0,auspicious
1,austere
0,australia
1,australian
0,authentic
1,authoritarian
0,authoritative
0,authority
1,auto erotic
1,autocrat
1,autocratic
1,autoerotic
0,autonomous
0,avadhi
0,avaidh
0,available
1,avalanche
1,avarice
1,avaricious
1,avariciously
0,avasar
0,avdhi
1,avenge
0,aver
1,averse
1,aversion
0,avid
0,avidly
0,awaaz
0,award
0,awarded
0,awards
0,awe
0,awed
1,aweful
0,awesome
0,awesomely
0,awesomeness
0,awestruck
1,awful
1,awfully
1,awfulness
1,awkward
1,awkwardness
0,awsome
1,ax
1,aye
0,ayodhyaa
0,baad
0,baadal
0,baagha
0,baahar
0,baahe
0,baaki
0,baal
1,baanddarr
0,baar
0,baarbaar
0,baare
0,baari
0,baarish
0,baat
0,baatchit
0,baate
0,baato
0,baavjud
0,baba
1,babble
1,babe
1,babeland
1,babies
0,baby
1,baby batter
0,bacha
0,bachaane
0,bachaav
0,bachche
0,bachcho
0,bachhe
0,bachne
0,bacho
0,back
1,backache
1,backaches
1,backaching
1,backbite
1,backbiting
0,backbone
1,backdoor
1,backdoorman
1,backerchodu
1,back-logged
1,backseat
1,backward
1,backwardness
1,backwood
1,back-wood
1,backwoods
1,back-woods
1,bad
0,bada
0,badaa
0,badal
0,badalne
0,baddal
0,bade
1,badfuck
0,badh
0,badhaa
0,badhaai
0,badhaane
0,badhaavaa
0,badhaayaa
0,badhat
0,badhegaa
0,badhi
0,badhne
0,badhotri
0,badhte
0,badhti
0,badi
1,badir
1,badirchand
0,badlaa
0,badlaav
0,badle
1,badly
0,badne
1,badtameez
1,baffle
1,baffled
1,bafflement
1,baffling
0,bagair
0,bagicha
1,bagul butcha
0,bahaadur
0,bahar
0,bahas
1,bahenchod
0,bahumat
0,bahut
0,bahuvachan
1,baira
1,bait
0,baith
0,baithak
0,baithe
0,baithna
0,baithnaa
0,bajaay
0,baje
1,bakland
0,bal
0,balanced
1,balatkar
1,balatkari
1,balk
0,balki
0,ball
1,ball gag
1,ball gravy
1,ball kicking
1,ball licking
1,ball sack
1,ball sucking
0,balla
1,balllicker
1,balls
1,ballsack
0,balo
0,bam
0,ban
1,ban
0,bana
0,banaa
0,banaaa
0,banaai
0,banaakar
0,banaate
0,banaaun
0,banaayaa
1,banal
1,banalize
0,banana
0,banane
0,banarji
0,band
1,band
0,bandargaah
0,bandook
0,bane
1,bane
0,bangaal
0,bangaluru
1,banging
0,bangladesh
0,bani
1,banish
1,banishment
0,bank
0,banko
1,bankrupt
0,bann
0,bannaa
0,banne
1,baptist
0,bar
0,barabar
1,barbarian
1,barbaric
1,barbarically
1,barbarity
1,barbarous
1,barbarously
1,bareback
1,barely legal
1,barelylegal
1,barenaked
0,barf
1,barf
1,barface
1,barfface
0,bargain
0,barkraar
1,barren
0,base
1,baseless
1,bash
1,bashed
1,bashful
1,bashing
0,basic
0,bassa
1,bast
1,bastard
1,bastardo
1,bastards
1,bastinado
0,bat
0,bataaa
0,bataai
0,bataanaa
0,bataane
0,bataate
0,batakh
0,bataur
0,bataya
1,battered
1,battering
1,batty
0,bayaan
0,bazaar
1,bazongas
1,bazooms
1,bbw
1,bc
1,bdsm
0,be
1,beaner
0,bear
1,bearish
1,beast
1,beastality
1,beastial
1,beastiality
1,beastly
0,beat
1,beatoff
1,beat-off
1,beatyourmeat
1,beauladi
0,beauteous
0,beautiful
0,beautifullly
0,beautifully
0,beautify
0,beauty
1,beaver
1,beaver cleaver
1,beaver lips
0,bech
0,bechne
0,beckon
0,beckoned
0,beckoning
0,beckons
0,bed
1,beda
0,bede
1,bedlam
1,bedlamite
0,bee
0,been
1,beepdi ka
0,bees
0,before
1,befoul
1,beg
0,began
1,beggar
1,beggarly
1,begging
0,begin
1,beguile
1,behad
1,behanchod
0,behatar
0,behatrin
0,behen
1,behen ke lode
1,behen ke tatte
0,behind
1,behsaram
0,behtar
1,bekar
1,belabor
1,belated
1,beleaguer
1,belie
0,believable
0,believe
0,believeable
1,belittle
1,belittled
1,belittling
0,bell
1,bellicose
1,belligerence
1,belligerent
1,belligerently
0,beloved
1,bemoan
1,bemoaning
1,bemused
1,bencho
0,benefactor
0,beneficent
0,beneficial
0,beneficially
0,beneficiary
0,benefit
0,benefits
0,benevolence
0,benevolent
0,benifits
1,bent
1,berate
1,bereave
1,bereavement
1,bereft
1,berserk
1,beseech
1,beset
1,besiege
1,besmirch
0,best
1,bestial
1,bestiality
0,best-known
0,best-performing
0,best-selling
0,beta
0,bete
0,beti
1,betichod
1,betray
1,betrayal
1,betrayals
1,betrayer
1,betraying
1,betrays
0,better
0,better-known
0,better-than-expected
0,between
0,beutifully
1,bevakuf
1,bevakuf
1,bewail
1,bewakoof
1,beware
1,bewilder
1,bewildered
1,bewildering
1,bewilderingly
1,bewilderment
1,bewitch
0,bhaag
0,bhaagidaari
0,bhaai
0,bhaap
0,bhaarat
0,bhaari
1,bhaari
0,bhaarti
0,bhaartiyo
0,bhaasha
0,bhaashaa
0,bhaashan
1,bhadva
1,bhadva
1,bhadve
1,bhadve
1,bhadvi
1,bhadwa
1,bhadwe
1,bhadwi
0,bhagfal
0,bhagvaan
0,bhai
1,bhaichod
0,bhain
1,bhains ki aulad
0,bhale
0,bhalu
1,bhan bhen
1,bhandawa
1,bhandkhau
1,bhandwe ki aulad
1,bhangi
1,bhangichod
0,bhar
0,bharaa
0,bharat
0,bhare
0,bhari
0,bharne
0,bharosaa
0,bharti
0,bhartiye
0,bhasha
0,bhashan
0,bhav
0,bhavan
0,bhavishya
0,bhavna
0,bhavya
0,bhedbhaav
0,bheed
0,bheedh
0,bhej
0,bhejaa
0,bheje
0,bhejha
0,bheji
0,bhejne
0,bhen
1,bhen
1,bhen da shola
1,bhen da yaar
1,bhenchod
1,bhenchod
1,bhenchode
0,bhi
0,bhinn
0,bhishan
0,bhitar
0,bhojan
1,bhonsdu
0,bhoomi
1,bhootdika
1,bhootnike
0,bhopal
1,bhosad
1,bhosadchod
1,bhosdi
1,bhosdik
1,bhosdike
1,bhosdike
1,bhosrike
1,bhrashtaachaar
0,bhugtaan
0,bhugtan
1,bhukhlandi ki aulad
1,bhuklandi
0,bhul
0,bhumikaa
0,bhutaan
0,bi
1,bi
1,bi curious
1,bias
1,biased
1,biases
1,biatch
1,bibi di fudi
1,bible
0,bich
1,bicker
1,bickering
1,bicurious
1,bid-rigging
0,big
1,big ass
1,big black
1,big breast
1,big knockers
1,big tits
1,bigbastard
1,bigbutt
1,bigger
1,bigotries
1,bigotry
0,bihaar
0,bijli
0,bikri
0,bil
0,bilkul
0,billi
0,bimaari
1,bimbos
0,binaa
0,bindu
0,bird
1,birdlock
1,bisexual
1,bi-sexual
0,bister
0,bit
1,bitch
1,bitcher
1,bitches
1,bitchez
1,bitchin
1,bitching
1,bitchslap
1,bitchy
1,bite
1,biteme
1,biting
1,bitingly
1,bitter
1,bitterly
1,bitterness
0,biyaaj
1,bizarre
0,bjp
1,blab
1,blabber
0,black
1,black
1,black cock
1,black out
1,blackmail
1,blackman
1,blacks
1,blah
1,blame
0,blameless
1,blameworthy
1,bland
1,blandish
1,blaspheme
1,blasphemous
1,blasphemy
1,blasted
1,blatant
1,blatantly
1,blather
1,bleak
1,bleakly
1,bleakness
1,bleed
1,bleeding
1,bleeds
1,blemish
0,bless
0,blessing
1,blind
1,blinding
1,blindingly
1,blindside
0,bliss
0,blissful
0,blissfully
1,blister
1,blistering
0,blithe
1,bloated
0,block
1,blockage
0,blockbuster
1,blockhead
1,blonde action
1,blonde on blonde action
1,bloodshed
1,bloodthirsty
1,bloody
0,bloom
0,blossom
1,blotchy
0,blow
1,blow
1,blow job
1,blow your l
1,blowjob
0,blue
1,blue waffle
1,blumpkin
1,blunder
1,blundering
1,blunders
1,blunt
1,blur
1,bluring
1,blurred
1,blurring
1,blurry
1,blurs
1,blurt
0,bna
1,boang
0,board
1,boastful
0,boat
0,body
1,bogan
1,boggle
1,bogus
1,bohunk
1,boil
1,boiling
1,boisterous
0,bol
0,bolaa
1,bollick
1,bollock
1,bollocks
0,bolna
0,bolne
0,bolster
0,bolte
1,bomb
1,bombard
1,bombardment
1,bombastic
1,bombers
1,bombing
1,bombs
1,bomd
1,bondage
0,bone
1,boner
1,bong
1,bonkers
0,bonny
0,bonus
0,bonuses
1,boo
1,boob
1,booba
1,boobe
1,boobies
1,boobs
1,boobs
1,booby
1,boody
0,book
0,boom
1,boom
0,booming
1,boondh
1,boong
1,boonga
1,boonie
0,boost
0,boot door
1,boothi
1,booty
1,booty call
1,bootycall
0,border
1,bore
1,bored
1,boredom
1,bores
1,boring
0,born
1,botch
0,both
1,bother
1,bothered
1,bothering
1,bothers
1,bothersome
0,bottom
0,bought
0,boundless
0,bountiful
1,bountybar
1,bowdlerize
0,box
0,boy
1,boycott
1,bra
1,braggart
1,bragger
0,brainiest
1,brainless
1,brainwash
0,brainy
0,branch
0,brand-new
1,brash
1,brashly
1,brashness
1,brat
1,bravado
0,brave
0,bravery
0,bravo
1,brazen
1,brazenly
1,brazenness
1,breach
0,bread
1,break
1,breakdown
1,breaking
1,breaks
0,breakthrough
0,breakthroughs
1,breakup
1,break-up
1,breakups
1,break-ups
1,breast
1,breastjob
1,breastlover
1,breastman
0,breathlessness
0,breathtaking
0,breathtakingly
0,breeze
1,bribery
0,bright
0,brighten
0,brighter
0,brightest
0,brilliance
0,brilliances
0,brilliant
0,brilliantly
1,brimstone
0,bring
0,brisk
1,bristle
0,britain
0,british
1,brittle
0,broad
0,broke
1,broke
1,broken
1,broken-hearted
1,brood
1,brothel
0,brother
0,brotherly
0,brought
1,browbeat
0,brown
1,brown showers
1,bruise
1,bruised
1,bruises
1,bruising
1,brunette action
1,brusque
1,brutal
1,brutalising
1,brutalities
1,brutality
1,brutalize
1,brutalizing
1,brutally
1,brute
1,brutish
1,bs
1,bsdk
0,bsf
0,bsp
0,bta
1,buckle
0,budget
0,budhwaar
1,bug
1,bugger
1,buggered
1,buggery
1,bugging
1,buggy
1,bugs
0,build
1,bukkake
0,bulaai
0,bulaayaa
1,bulkier
1,bulkiness
1,bulky
1,bulkyness
1,bull----
1,bull****
1,bullcrap
1,bulldike
1,bulldyke
1,bullet vibe
1,bullies
0,bullish
1,bullshit
1,bullshyt
1,bully
1,bullying
1,bullyingly
1,bum
1,bumblefuck
1,bumchod
1,bumfuck
1,bump
1,bumped
1,bumping
1,bumpping
1,bumps
1,bumpy
1,bund
1,bund de
1,bund mara
1,bundd
1,bung hole
1,bunga
1,bunghole
1,bungle
1,bungler
1,bungling
0,buniyaadi
1,bunk
0,buoyant
1,bur ki vhatani
0,buraa
1,burden
1,burdensome
1,burdensomely
0,bureau
0,buri
1,buried
0,burn
1,burn
1,burned
1,burning
1,burns
0,bury
0,bus
0,business
0,buss
1,bust
1,busts
1,busty
0,busy
1,busybody
0,but
1,butchbabes
1,butchdike
1,butchdyke
1,butcher
1,butchery
1,butt
1,buttbang
1,butt-bang
1,buttcheeks
1,buttface
1,buttfuck
1,butt-fuck
1,buttfucker
1,butt-fucker
1,buttfuckers
1,butt-fuckers
1,butthead
1,butthole
1,buttman
1,buttmunch
1,buttmuncher
1,buttpirate
1,buttplug
1,buttstain
1,buund
0,buy
1,buzzing
0,by
1,byatch
1,byzantine
0,c
0,cabinet
1,cacker
1,cackle
0,cajole
1,calamities
1,calamitous
1,calamitously
1,calamity
0,call
1,callous
0,calm
0,calming
0,calmness
1,calumniate
1,calumniation
1,calumnies
1,calumnious
1,calumniously
1,calumny
0,came
1,camel toe
1,cameljockey
1,cameltoe
1,camgirl
0,camp
1,camslut
1,camwhore
0,can
1,canadian
1,cancer
1,cancerous
1,cannibal
1,cannibalize
0,capability
0,capable
0,capably
0,capital
1,capitulate
1,capricious
1,capriciously
1,capriciousness
1,capsize
0,captain
0,captivate
0,captivating
0,car
0,card
0,care
0,carefree
1,careless
1,carelessness
1,caricature
1,carnage
1,carp
1,carpet muncher
1,carpetmuncher
1,carruth
0,carry
1,cartoonish
0,case
0,cash
0,cashback
0,cashbacks
1,cash-strapped
1,castigate
1,castrated
1,casualty
0,cat
1,cataclysm
1,cataclysmal
1,cataclysmic
1,cataclysmically
1,catastrophe
1,catastrophes
1,catastrophic
1,catastrophically
1,catastrophies
0,catch
0,catchy
1,catholic
1,catholics
0,caught
0,cause
1,caustic
1,caustically
1,cautionary
1,cave
0,cbi
0,celebrate
0,celebrated
0,celebration
0,celebratory
0,cell
1,cemetery
1,censure
0,center
0,central
0,century
0,certain
0,chaahe
0,chaahiye
0,chaahtaa
0,chaahti
0,chaal
0,chaand
0,chaar
0,chaaro
0,chadar
1,chaddi
1,chafe
1,chaff
1,chagrin
0,chahe
0,chahidi
0,chahiye
0,chahte hai
0,chair
0,chairman
0,chal
0,chala gaya
0,chalaa
0,chalaai
0,chalaane
0,chalaayaa
0,chalan
0,chalane
0,chalaye
0,chale
0,chalegaa
0,chalegi
0,chali
1,challenging
0,chalna
0,chalne
0,chalo
0,chaltaa
0,chalte
0,chamak
1,chaman
0,chamdi
0,champ
0,champion
0,chance
0,chand
0,chandi
0,chandigarh
0,changa
0,change
0,channel
1,chaos
1,chaotic
0,character
0,charan
0,charbi
0,charcha
0,charge
0,chargesheet
0,charisma
0,charismatic
0,charitable
0,charitra
0,charm
0,charming
0,charmingly
0,chart
0,chasan
0,chaste
1,chasten
1,chastise
1,chastisement
0,chatisgarh
1,chatter
1,chatterbox
0,chaukaane
1,chav
1,chaval
0,chayan
0,chdhai
0,che
1,cheap
1,cheapen
0,cheaper
0,cheapest
1,cheaply
1,cheat
1,cheated
1,cheater
1,cheating
1,cheats
0,check
1,checkered
0,cheer
0,cheerful
1,cheerless
0,cheery
1,cheesy
0,cheez
0,cheezo
0,chehre
0,chennai
0,cherish
0,cherished
1,cherrypopper
0,cherub
0,chetaavni
0,chetra
0,chey
0,chhaapemaari
0,chhaati
0,chhaatra
0,chhaatro
0,chhadi
0,chhah
0,chhatra
0,chhavi
1,chhed
1,chhed
1,chhedchhaad
0,chhill
1,chhitaaarr
1,chhitarr
1,chhittar
1,chhittarrrr
1,chhitttaerr
1,chhitttar
0,chhod
1,chhod
0,chhoda
0,chhodkar
0,chhodne
1,chholaa
1,chholi
0,chhotaa
0,chhote
0,chhoti
0,chhut
0,chhutti
0,chic
1,chickslick
0,chidambaram
1,chide
0,chief
0,chikitsak
0,child
1,childish
0,children
1,chill
1,chilly
0,chin
1,chin
1,chinaal
1,chinaman
1,chinamen
1,chinese
0,chini
1,chink
1,chinky
1,chintzy
1,chipkali ke chut ke pasine
1,chipkali ke gaand ke pasine
1,chipkali ke jhaant ke pasine
1,chipkali ke jhaat ke baal
1,chitaa
0,chitta
1,chitta bandar
1,chittar
1,chitterchort
0,chivalrous
0,chivalry
0,chize
0,chla gaya
1,choad
1,chocolate rosebuds
1,chod
1,chodaa
1,chodela
1,chodenge
1,chodra
1,chodu
1,chodu bhagat
1,choke
1,choleric
1,chooche
1,choochi
1,chood
1,chooheya
0,chooki
1,choos mera badaam
0,choose
1,choosna
1,choot
1,choot ka baal
1,choot ke bhoot
1,choot ke lund
1,choot marani
1,choot marna
1,chootia
1,choppy
1,chor
0,chord
1,chore
0,chote
0,chotta
1,christ
1,christian
1,chronic
1,chudaap
1,chudai khana
1,chudam chudai
1,chudawati
1,chuddu
1,chudu
1,chudwa
0,chukaa
0,chuke
0,chuki
1,chullu
0,chumbak
1,chunaa
0,chunaav
0,chunaavi
0,chunaavo
0,chunauti
0,chunautiyo
1,chunky
1,chunni
1,chup kar
1,chuppe
1,chuppe mar
0,chuppi
1,church
1,chut
1,chut ka choocha
1,chut ka mail
1,chut ke dhakkan
1,chut marke
1,chut ragadna
1,chutan
1,chutha
1,chutia
1,chutiya
1,chutiya
1,chutiyaa
1,chutmaar
1,chuttiya
1,chutye
1,cigarette
1,cigs
0,circle
1,circlejerk
0,city
0,civil
0,civility
0,civilize
0,claim
1,clamdigger
1,clamdiver
1,clamor
1,clamorous
0,clarity
1,clash
0,class
0,classic
0,classy
0,clean
0,cleaner
0,cleanest
0,cleanliness
0,cleanly
0,clear
0,clear-cut
0,cleared
0,clearer
0,clearly
0,clears
1,cleveland steamer
0,clever
0,cleverly
1,cliche
1,cliched
0,climb
1,clique
1,clit
1,clitoris
0,clock
1,clog
1,clogged
1,clogs
1,clogwog
0,close
0,clothes
0,cloud
1,cloud
1,clouding
1,cloudy
1,clover clamps
1,clueless
1,clumsy
1,clunky
1,clusterfuck
0,cm
0,coach
1,coarse
0,coast
0,coat
1,cocaine
1,cock
1,cock cowboy
1,cock queen
1,cockblock
1,cockblocker
1,cockfight
1,cockhead
1,cockknob
1,cocklicker
1,cocklover
1,cocknob
1,cockrider
1,cocks
1,cocksman
1,cocksmith
1,cocksmoker
1,cocksucer
1,cocksuck
1,cocksucked
1,cocksucker
1,cocksucking
1,cocktail
1,cocktease
1,cocky
1,coerce
1,coercion
1,coercive
0,cohere
0,coherence
0,coherent
0,cohesive
1,coitus
0,cold
1,cold
1,coldly
1,collapse
0,collect
1,collude
1,collusion
0,colony
0,color
1,color
0,colorful
1,coloured
0,column
1,combative
1,combust
0,come
0,comely
0,comfort
0,comfortable
0,comfortably
0,comforting
0,comfy
1,comical
0,comittee
0,command
0,commander
0,commend
0,commendable
0,commendably
1,commie
1,commiserate
0,commision
0,commissioner
0,commitment
0,commodious
0,common
1,commonplace
0,commonwealth
1,commotion
1,commotions
1,communist
0,compact
0,compactly
0,companiya
0,companiyo
0,company
0,compare
0,compassion
0,compassionate
0,compatible
0,competitive
1,complacent
1,complain
1,complained
1,complaining
1,complains
1,complaint
1,complaints
0,complement
0,complementary
0,complemented
0,complements
0,complete
1,complex
0,compliant
1,complicated
1,complication
1,complicit
0,compliment
0,complimentary
0,comprehensive
1,compulsion
1,compulsive
1,concede
1,conceded
1,conceit
1,conceited
1,concen
1,concens
1,concern
1,concerned
1,concerns
1,concession
1,concessions
0,conciliate
0,conciliatory
0,concise
1,condemn
1,condemnable
1,condemnation
1,condemned
1,condemns
1,condescend
1,condescending
1,condescendingly
1,condescension
0,condition
1,condom
1,confess
1,confession
1,confessions
0,confidence
0,confident
1,confined
1,conflict
1,conflicted
1,conflicting
1,conflicts
1,confound
1,confounded
1,confounding
0,confress
1,confront
1,confrontation
1,confrontational
1,confuse
1,confused
1,confuses
1,confusing
1,confusion
1,confusions
0,congenial
1,congested
1,congestion
0,congratulate
0,congratulation
0,congratulations
0,congratulatory
0,congress
0,congressi
0,connect
1,cons
